NUMUNITEURBAINE;NBETABLISSEMENTS__C_;NBFAUTEUILS__C_;NBECRANS__C_;NBENTREES__C_;;;
51501;2;1754;10;263248;;865;86500000
71501;4;3220;16;288662;;119;726890,7563
73601;8;5136;28;925230;;;
8501;1;2008;10;389590;;;
28501;1;1880;10;420490;;;
36501;2;1406;9;256339;;;
50501;3;3841;18;497968;;;
47501;2;1507;9;266322;;;
2A501;4;2279;4;64163;;;
81502;3;1456;8;216782;;;
30501;2;973;8;190712;;;
80601;3;3124;14;881002;;;
49701;5;5287;26;1336256;;;
16601;2;2170;13;500125;;;
74601;9;4538;22;949761;;;
552;2;684;5;71650;;;
59501;1;145;1;16817;;;
62502;1;679;6;215501;;;
754;12;8485;45;2053366;;;
2B501;3;1351;7;161771;;;
751;10;7083;39;1221009;;;
60501;2;2118;11;518362;;;
555;1;2973;14;499569;;;
553;2;1425;8;178173;;;
25602;4;3550;22;997403;;;
752;6;4348;20;538260;;;
34501;3;4108;26;621016;;;
41501;2;2598;12;471683;;;
33701;19;19711;103;4677991;;;
62503;1;944;7;218743;;;
1501;2;2619;13;449661;;;
18501;2;2730;13;542813;;;
38501;2;2252;12;542433;;;
29701;5;5701;31;1128626;;;
554;2;2090;12;400496;;;
14601;5;6174;27;1630047;;;
62504;2;2869;16;566065;;;
81501;1;660;5;188110;;;
851;278;194248;951;56516878;;;
64601;3;4124;21;905579;;;
24501;1;1864;10;376335;;;
66601;6;6134;39;1402597;;;
86601;5;3889;23;868667;;;
29501;3;1920;13;440913;;;
51701;2;2842;13;345095;;;
35701;8;5774;27;1538986;;;
42502;2;2348;11;425897;;;
12402;2;1243;7;194949;;;
26501;2;1075;8;186985;;;
755;10;13252;64;2718257;;;
22501;2;2754;15;600910;;;
66401;5;1284;5;38964;;;
753;10;6483;32;1179009;;;
49501;2;2062;13;362216;;;
63701;6;5410;33;1538363;;;
74502;3;1114;3;40031;;;
68501;2;3710;18;665120;;;
60502;2;3345;15;491632;;;
60601;2;4199;15;699101;;;
21701;6;6888;41;1413690;;;
756;8;9032;42;1479917;;;
83501;1;852;5;149952;;;
59602;5;4577;21;632727;;;
88501;1;1009;6;256459;;;
27501;1;2016;10;552219;;;
83502;3;2257;11;365400;;;
652;6;3859;19;1018908;;;
38701;15;11871;58;2637815;;;
67501;1;1504;8;294627;;;
17601;5;6017;25;920925;;;
85501;2;2308;11;561839;;;
33501;4;2496;13;336602;;;
53501;1;1844;9;440093;;;
76701;5;4166;24;861641;;;
72701;6;3910;27;1084526;;;
59702;17;18239;80;4931541;;;
87601;3;4977;27;872236;;;
56601;2;3981;22;911734;;;
758;45;29308;156;7714976;;;
759;27;20127;118;6273442;;;
59601;3;2884;11;294906;;;
77501;1;1304;7;254803;;;
6501;1;377;3;72193;;;
57701;7;9176;40;1743680;;;
45501;1;1456;9;304646;;;
82501;2;2419;13;444995;;;
25601;2;2933;14;503001;;;
551;4;1726;15;259210;;;
3501;1;662;5;169688;;;
34701;6;9986;50;2813142;;;
68701;5;5977;25;1033621;;;
54701;7;6109;28;1343241;;;
44701;15;14181;73;3875423;;;
11502;2;1518;10;403630;;;
58501;1;1170;8;200741;;;
6701;34;15572;87;3806491;;;
30601;3;3759;21;1288977;;;
79501;2;2945;14;558859;;;
45701;4;5797;27;1333783;;;
651;5;4228;22;910533;;;
59701;3;4082;17;813758;;;
56501;2;2473;12;605593;;;
3502;1;1012;7;272309;;;
556;2;1797;11;386990;;;
42501;2;978;5;156725;;;
44601;8;4987;25;859111;;;
62501;1;1481;8;312910;;;
2501;1;1927;11;322367;;;
13501;3;1605;9;220948;;;
57501;2;3248;15;352529;;;
34502;4;1397;9;150981;;;
67701;5;7919;40;2395733;;;
65501;1;2049;11;361074;;;
57601;4;3530;14;740524;;;
74501;5;1582;9;271292;;;
757;20;9372;53;2394845;;;
31701;23;16151;81;5270047;;;
37701;10;8016;35;1715263;;;
10601;1;2126;10;507162;;;
