NUMUNITEURBAINE;NBETABLISSEMENTS__C_;NBFAUTEUILS__C_;NBECRANS__C_;NBENTREES__C_;POPULATIONUNITEURBAINE;;;;;;
851;278;194248;951;56516878;10706072;;;;;;
758;45;29308;156;7714976;1639558;;;nbEtabPop;nbEcransPop;nbFauteilsPop;indiceFrequentation
35701;8;5774;27;1538986;330871;;;2,509146346;10,42238476;2048,214712;4,940833807
759;27;20127;118;6273442;1585498;;;;;;
29701;5;5701;31;1128626;200530;;;;;;
81502;3;1456;8;216782;74751;;;;;;
80601;3;3124;14;881002;162637;;;;;;
751;10;7083;39;1221009;236730;;;;;;
16601;2;2170;13;500125;109054;;;;;;
66401;5;1284;5;38964;53068;;;;;;
18501;2;2730;13;542813;82558;;;;;;
62502;1;679;6;215501;86845;;;;;;
752;6;4348;20;538260;355543;;;;;;
57701;7;9176;40;1743680;285268;;;;;;
31701;23;16151;81;5270047;948433;;;;;;
754;12;8485;45;2053366;456042;;;;;;
757;20;9372;53;2394845;569793;;;;;;
44701;15;14181;73;3875423;633690;;;;;;
554;2;2090;12;400496;75329;;;;;;
6701;34;15572;87;3806491;943354;;;;;;
36501;2;1406;9;256339;60779;;;;;;
62504;2;2869;16;566065;100640;;;;;;
63701;6;5410;33;1538363;265892;;;;;;
34701;6;9986;50;2813142;428909;;;;;;
21701;6;6888;41;1413690;243244;;;;;;
88501;1;1009;6;256459;61800;;;;;;
33701;19;19711;103;4677991;904359;;;;;;
753;10;6483;32;1179009;373130;;;;;;
57501;2;3248;15;352529;83893;;;;;;
76701;5;4166;24;861641;237578;;;;;;
59602;5;4577;21;632727;177103;;;;;;
38701;15;11871;58;2637815;511598;;;;;;
756;8;9032;42;1479917;504537;;;;;;
59702;17;18239;80;4931541;1039397;;;;;;
72701;6;3910;27;1084526;210018;;;;;;
77501;1;1304;7;254803;74463;;;;;;
74601;9;4538;22;949761;168098;;;;;;
45501;1;1456;9;304646;55881;;;;;;
25601;2;2933;14;503001;106486;;;;;;
551;4;1726;15;259210;55791;;;;;;
755;10;13252;64;2718257;467133;;;;;;
68701;5;5977;25;1033621;246511;;;;;;
11502;2;1518;10;403630;53462;;;;;;
30601;3;3759;21;1288977;184750;;;;;;
64601;3;4124;21;905579;197713;;;;;;
86601;5;3889;23;868667;130502;;;;;;
66601;6;6134;39;1402597;200971;;;;;;
42502;2;2348;11;425897;79899;;;;;;
17601;5;6017;25;920925;128466;;;;;;
34502;4;1397;9;150981;91281;;;;;;
22501;2;2754;15;600910;94500;;;;;;
553;2;1425;8;178173;64508;;;;;;
54701;7;6109;28;1343241;285659;;;;;;
44601;8;4987;25;859111;152164;;;;;;
65501;1;2049;11;361074;75605;;;;;;
57601;4;3530;14;740524;132722;;;;;;
74501;5;1582;9;271292;75939;;;;;;
37701;10;8016;35;1715263;353042;;;;;;
651;5;4228;22;910533;129705;;;;;;
59601;3;2884;11;294906;112020;;;;;;
83502;3;2257;11;365400;95721;;;;;;
47501;2;1507;9;266322;81266;;;;;;
2A501;4;2279;4;64163;68462;;;;;;
652;6;3859;19;1018908;178404;;;;;;
60501;2;2118;11;518362;58742;;;;;;
41501;2;2598;12;471683;66763;;;;;;
14601;5;6174;27;1630047;198639;;;;;;
81501;1;660;5;188110;56432;;;;;;
71501;4;3220;16;288662;74911;;;;;;
50501;3;3841;18;497968;83311;;;;;;
60601;2;4199;15;699101;120350;;;;;;
13501;3;1605;9;220948;60408;;;;;;
33501;4;2496;13;336602;65500;;;;;;
67501;1;1504;8;294627;59194;;;;;;
6501;1;377;3;72193;68326;;;;;;
58501;1;1170;8;200741;58395;;;;;;
79501;2;2945;14;558859;72991;;;;;;
67701;5;7919;40;2395733;461101;;;;;;
2501;1;1927;11;322367;65059;;;;;;
59701;3;4082;17;813758;335992;;;;;;
73601;8;5136;28;925230;187010;;;;;;
1501;2;2619;13;449661;59778;;;;;;
82501;2;2419;13;444995;78084;;;;;;
552;2;684;5;71650;55766;;;;;;
2B501;3;1351;7;161771;67699;;;;;;
34501;3;4108;26;621016;90841;;;;;;
51501;2;1754;10;263248;57901;;;;;;
8501;1;2008;10;389590;59465;;;;;;
28501;1;1880;10;420490;89793;;;;;;
74502;3;1114;3;40031;89490;;;;;;
83501;1;852;5;149952;81139;;;;;;
27501;1;2016;10;552219;60589;;;;;;
56601;2;3981;22;911734;114299;;;;;;
45701;4;5797;27;1333783;278131;;;;;;
556;2;1797;11;386990;94687;;;;;;
62501;1;1481;8;312910;62105;;;;;;
60502;2;3345;15;491632;70485;;;;;;
10601;1;2126;10;507162;136330;;;;;;
56501;2;2473;12;605593;78876;;;;;;
68501;2;3710;18;665120;95712;;;;;;
49701;5;5287;26;1336256;225978;;;;;;
59501;1;145;1;16817;78130;;;;;;
25602;4;3550;22;997403;135448;;;;;;
24501;1;1864;10;376335;74257;;;;;;
29501;3;1920;13;440913;80005;;;;;;
42501;2;978;5;156725;60716;;;;;;
30501;2;973;8;190712;94393;;;;;;
555;1;2973;14;499569;81651;;;;;;
62503;1;944;7;218743;87013;;;;;;
38501;2;2252;12;542433;57928;;;;;;
49501;2;2062;13;362216;57841;;;;;;
53501;1;1844;9;440093;67160;;;;;;
87601;3;4977;27;872236;183347;;;;;;
3501;1;662;5;169688;56615;;;;;;
51701;2;2842;13;345095;212949;;;;;;
12402;2;1243;7;194949;50571;;;;;;
26501;2;1075;8;186985;57105;;;;;;
85501;2;2308;11;561839;53578;;;;;;
3502;1;1012;7;272309;65272;;;;;;
